1230201,2021-10-17,Round 10,Marseille,4,Lorient,1,https://www.thesportsdb.com/images/media/event/thumb/tmkywx1625166515.jpg
1230202,2021-10-17,Round 10,Metz,0,Rennes,3,https://www.thesportsdb.com/images/media/event/thumb/3pzgve1625166516.jpg
1230203,2021-10-17,Round 10,Montpellier,1,Lens,0,https://www.thesportsdb.com/images/media/event/thumb/ppx8pk1625166516.jpg
1230205,2021-10-17,Round 10,Strasbourg,5,St Etienne,1,https://www.thesportsdb.com/images/media/event/thumb/vj1ak61625166517.jpg
1230206,2021-10-17,Round 10,Troyes,1,Nice,0,https://www.thesportsdb.com/images/media/event/thumb/3jq28b1625166518.jpg
1230216,2021-10-22,Round 11,St Etienne,2,Angers,2,https://www.thesportsdb.com/images/media/event/thumb/11qx6u1625166523.jpg
1230208,2021-10-23,Round 11,Lille,1,Brest,1,https://www.thesportsdb.com/images/media/event/thumb/8rceqz1625166519.jpg
1230212,2021-10-23,Round 11,Nantes,2,Clermont Foot,1,https://www.thesportsdb.com/images/media/event/thumb/he4wbn1625166521.jpg
1230207,2021-10-24,Round 11,Lens,4,Metz,1,https://www.thesportsdb.com/images/media/event/thumb/pmtkko1625166518.jpg
1230209,2021-10-24,Round 11,Lorient,1,Bordeaux,1,https://www.thesportsdb.com/images/media/event/thumb/zk7cq91627321459.jpg
1230210,2021-10-24,Round 11,Marseille,0,Paris SG,0,https://www.thesportsdb.com/images/media/event/thumb/qwuqdp1625166520.jpg
1230211,2021-10-24,Round 11,Monaco,3,Montpellier,1,https://www.thesportsdb.com/images/media/event/thumb/yhu2jh1625166521.jpg
1230213,2021-10-24,Round 11,Nice,3,Lyon,2,https://www.thesportsdb.com/images/media/event/thumb/dpl89g1625166522.jpg
1230214,2021-10-24,Round 11,Stade de Reims,1,Troyes,2,https://www.thesportsdb.com/images/media/event/thumb/cq47n01625166522.jpg
1230215,2021-10-24,Round 11,Rennes,1,Strasbourg,0,https://www.thesportsdb.com/images/media/event/thumb/86xbi21625166523.jpg
1230133,2021-10-27,Round 3,Nice,1,Marseille,1,https://www.thesportsdb.com/images/media/event/thumb/djui9p1625166476.jpg
1230224,2021-10-29,Round 12,Paris SG,2,Lille,1,https://www.thesportsdb.com/images/media/event/thumb/s7sm161625166527.jpg
1230221,2021-10-30,Round 12,Lyon,2,Lens,1,https://www.thesportsdb.com/images/media/event/thumb/o6bfn01625166526.jpg
1230222,2021-10-30,Round 12,Metz,1,St Etienne,1,https://www.thesportsdb.com/images/media/event/thumb/tcddzw1625166526.jpg
1230217,2021-10-31,Round 12,Angers,1,Nice,2,https://www.thesportsdb.com/images/media/event/thumb/w5xxh61625166524.jpg
1230218,2021-10-31,Round 12,Bordeaux,3,Stade de Reims,2,https://www.thesportsdb.com/images/media/event/thumb/583mzj1627321460.jpg
1230219,2021-10-31,Round 12,Brest,2,Monaco,0,https://www.thesportsdb.com/images/media/event/thumb/y3xgk01625166525.jpg
